number of ingredients, evalCSP, evalBaseline
1,14.0,10.0
1,0.0,0.0
1,0.0,0.0
1,2830.0,70.0
2,5289.0,924.0
2,2874.0,84.0
2,14561.0,131.0
2,10835.0,1436.0
3,11817.0,150.0
3,19247.0,10026.0
3,12450.0,1444.0
3,13473.0,5358.0
4,17574.0,432.0
4,19483.0,400.0
4,14117.0,541.0
4,14239.0,3325.0
5,39570.0,12570.0
5,11880.0,1030.0
5,29549.0,7004.0
5,24651.0,12726.0
6,14562.0,3188.0
6,19769.0,651.0
6,16398.0,4207.0
6,26407.0,2229.0
7,40138.0,13955.0
7,12347.0,1384.0
7,17201.0,5310.0
7,21923.0,2543.0
8,32001.0,18595.0
8,16285.0,4362.0
8,30830.0,3992.0
8,47264.0,18185.0
9,12889.0,1042.0
9,27533.0,4428.0
9,14243.0,2599.0
9,26184.0,14727.0
10,40247.0,9551.0
10,21115.0,6807.0
10,33702.0,19618.0
10,20762.0,6249.0
number of ingredients, evalCSP, evalBaseline
1,230.0,181.0
1,41.0,27.0
1,12.0,10.0
1,409.0,318.0
1,925.0,637.0
1,28.0,18.0
number of ingredients, evalCSP, evalBaseline
1,1691.0,1161.0
1,1914.0,1694.0
1,75.0,60.0
1,0.0,0.0
1,0.0,0.0
1,381.0,241.0
1,1963.0,1579.0
1,1557.0,1172.0
1,381.0,241.0
1,235.0,166.0
2,0.0,0.0
2,256.0,165.5
2,334.5,274.5
2,0.0,0.0
2,136.5,102.5
2,1176.5,835.5
2,1199.0,855.0
2,380.5,305.5
2,1061.0,779.0
2,33.5,21.5
3,4053.0,155.666666667
3,4137.0,3313.0
3,1940.33333333,1492.66666667
3,1692.33333333,1415.0
3,1634.66666667,1036.33333333
3,1151.66666667,826.333333333
3,1754.66666667,1284.33333333
3,5969.66666667,171.0
3,1078.33333333,615.333333333
3,1987.66666667,1509.66666667
4,5950.75,628.0
4,5856.25,505.25
4,2363.0,276.0
4,2788.25,1051.75
4,3237.5,394.75
4,3118.0,816.75
4,2796.0,1386.75
4,2517.5,350.75
4,6967.0,2296.75
4,11270.5,4636.0
5,4851.8,828.6
5,3819.2,430.2
5,2642.4,390.4
5,3146.6,857.0
5,4697.4,534.4
5,6637.4,2297.0
5,3966.4,1889.6
5,2014.0,272.6
5,6339.8,1699.2
5,1944.6,269.2
6,3722.16666667,1235.0
6,4621.16666667,1400.0
6,4962.33333333,2143.0
6,3393.0,215.666666667
6,4271.16666667,978.833333333
6,3266.83333333,149.666666667
6,4278.16666667,829.666666667
6,5773.33333333,1561.5
6,1184.16666667,172.833333333
6,4216.33333333,846.166666667
7,2229.14285714,585.428571429
7,2931.14285714,1405.0
7,5622.85714286,1976.42857143
7,3581.0,581.428571429
7,2743.57142857,126.714285714
7,2413.14285714,713.428571429
7,7593.71428571,3241.14285714
7,3067.71428571,383.571428571
7,2844.28571429,290.285714286
7,4082.14285714,995.714285714
8,1442.875,288.5
8,3583.875,1935.125
8,3079.125,843.75
8,1920.375,433.25
8,4142.75,1708.75
8,2100.125,610.0
8,2794.625,1344.5
8,4430.875,1384.375
8,4055.5,1631.625
8,2067.375,620.125
9,2207.11111111,110.333333333
number of ingredients, evalCSP, evalBaseline
1,1311.0,975.0
1,1961.0,1364.0
1,310.0,229.0
1,473.0,345.0
1,591.0,378.0
1,3.0,2.0
1,108.0,78.0
1,1195.0,831.0
1,277.0,249.0
1,0.0,0.0
2,1031.0,643.0
2,220.0,138.5
2,3434.0,2247.0
2,491.5,339.0
2,223.5,164.0
2,318.0,215.0
2,25.5,22.5
2,761.5,597.0
2,2.0,1.0
2,89.5,73.5
3,2303.0,922.0
3,1236.0,858.333333333
3,621.333333333,430.333333333
3,2229.0,797.666666667
3,1592.0,1201.0
3,1683.33333333,1281.33333333
3,5726.0,16.0
3,1045.0,599.666666667
3,4675.33333333,82.6666666667
3,1978.0,1560.66666667
4,2466.5,147.25
4,2651.5,704.25
4,2339.5,110.5
4,2464.75,330.75
4,3102.0,652.25
4,7483.5,2081.5
4,1325.0,201.0
4,3892.75,174.75
4,2527.0,425.75
4,2514.5,552.5
5,6179.6,1294.2
5,3989.0,332.0
5,4531.0,1333.8
5,3965.6,441.8
5,2837.8,585.8
5,1990.8,421.6
5,5598.4,2339.6
5,3938.2,148.6
5,4462.2,1416.6
5,6002.6,1506.2
6,3475.0,403.0
6,9351.33333333,4276.5
6,4335.5,1019.0
6,3606.33333333,192.166666667
